Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ukraine,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125,124.603
United Arab Emirates,289.787,350.666,374.591,390.108,403.137,358.135,357.045,382.575,424.635
United Kingdom,2455.309,2635.799,2677.082,2755.356,3036.31,2897.06,2669.107,2639.974,2828.644
United States,14992.05,15542.6,16197.05,16784.825,17521.75,18219.3,18707.15,19485.4,20494.05
Uruguay,40.285,47.962,51.266,57.531,57.236,53.275,52.687,59.18,60.18
Uzbekistan,39.338,45.941,51.824,57.7,63.113,66.489,67.069,48.826,41.241
Vanuatu,0.681,0.759,0.77,0.798,0.817,0.774,0.798,0.88,0.928
Venezuela,294.282,334.069,331.457,234.401,212.347,323.595,279.249,143.841,98.468
Vietnam,112.771,134.598,155.483,170.444,185.759,191.288,201.326,220.376,241.272
Yemen,30.907,32.726,35.401,40.415,43.229,42.628,30.968,26.819,26.914
Zambia,20.265,23.46,25.503,28.046,27.151,21.243,20.941,25.868,25.179
Zimbabwe,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,26.127
